epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,16780.2,1.10283,0.61355,1.08643,0.91621,0.8295,0.88815,0.52342,1.35657,0.77101,1.29837,0.0010496,0.0010496,0.0010496
50,17097.9,1.11083,0.61911,1.07121,0.91462,0.88966,0.92518,0.56505,1.31743,0.68122,1.28726,0.0010298,0.0010298,0.0010298
51,17415.3,1.10902,0.61689,1.09694,0.89386,0.87123,0.91625,0.55975,1.36497,0.67442,1.27103,0.00101,0.00101,0.00101
52,17729.4,1.08699,0.58705,1.08455,0.89783,0.84843,0.90383,0.54806,1.3362,0.69127,1.24868,0.0009902,0.0009902,0.0009902
53,18059.7,1.09852,0.60227,1.07672,0.92307,0.91034,0.93118,0.5719,1.37212,0.6775,1.27869,0.0009704,0.0009704,0.0009704
54,18381.8,1.06104,0.56551,1.09545,0.93287,0.86259,0.91905,0.55735,1.33767,0.68466,1.25484,0.0009506,0.0009506,0.0009506
55,18698.5,1.08665,0.58978,1.07426,0.92398,0.86897,0.91793,0.54451,1.37671,0.70487,1.26572,0.0009308,0.0009308,0.0009308
56,19011.4,1.06201,0.58139,1.06602,0.92759,0.88346,0.9041,0.55418,1.38608,0.67383,1.32856,0.000911,0.000911,0.000911
57,19346.3,1.0406,0.57182,1.05996,0.87099,0.88464,0.91687,0.56218,1.30117,0.68582,1.25485,0.0008912,0.0008912,0.0008912
58,19676.5,1.05078,0.57462,1.08252,0.93383,0.88276,0.93634,0.57494,1.3136,0.6437,1.28286,0.0008714,0.0008714,0.0008714
59,19989.7,1.04619,0.57021,1.06079,0.92785,0.88276,0.9379,0.57477,1.27996,0.64835,1.25745,0.0008516,0.0008516,0.0008516
60,20301.7,1.04964,0.57177,1.06215,0.87098,0.93112,0.94814,0.57685,1.30194,0.59642,1.25059,0.0008318,0.0008318,0.0008318
61,20632,1.02533,0.55076,1.05562,0.89166,0.89655,0.93148,0.55744,1.43375,0.65201,1.29417,0.000812,0.000812,0.000812
62,20961.3,1.06296,0.55872,1.06794,0.94673,0.85801,0.92682,0.568,1.36399,0.63665,1.26112,0.0007922,0.0007922,0.0007922
63,21281.9,1.05695,0.5632,1.06093,0.94546,0.88276,0.92331,0.57376,1.35358,0.65543,1.2736,0.0007724,0.0007724,0.0007724
64,21591.7,1.03006,0.56586,1.04555,0.95899,0.84828,0.92871,0.57932,1.31328,0.63107,1.26078,0.0007526,0.0007526,0.0007526
65,21916,1.01781,0.53781,1.05147,0.90366,0.91034,0.94254,0.59463,1.25099,0.61814,1.22298,0.0007328,0.0007328,0.0007328
66,22246.5,0.96809,0.52168,1.01965,0.94649,0.85398,0.9224,0.5671,1.37467,0.66093,1.25917,0.000713,0.000713,0.000713
67,22564.1,0.98754,0.53904,1.03886,0.91376,0.87692,0.90799,0.56893,1.30433,0.60157,1.27179,0.0006932,0.0006932,0.0006932
68,22874.5,1.00241,0.52879,1.04395,0.93472,0.88876,0.91868,0.55083,1.33388,0.63901,1.26545,0.0006734,0.0006734,0.0006734
69,23189.7,0.96891,0.52801,1.04251,0.95646,0.90892,0.92855,0.57097,1.30459,0.63025,1.237,0.0006536,0.0006536,0.0006536
70,23502.1,0.99402,0.51905,1.02905,0.95512,0.88066,0.91165,0.57799,1.26961,0.62963,1.22688,0.0006338,0.0006338,0.0006338
71,28519.5,1.00391,0.53465,1.0293,0.91647,0.90799,0.92906,0.5701,1.30564,0.61782,1.23642,0.000614,0.000614,0.000614
72,28840.5,0.96244,0.52405,1.03745,0.92697,0.87537,0.92826,0.59865,1.27279,0.62263,1.21645,0.0005942,0.0005942,0.0005942
73,29170.7,0.95937,0.50563,1.0209,0.94159,0.88935,0.93618,0.59044,1.32736,0.64405,1.24522,0.0005744,0.0005744,0.0005744
74,29514.3,0.97583,0.50849,1.04523,0.96251,0.88543,0.94617,0.59384,1.23417,0.59052,1.20172,0.0005546,0.0005546,0.0005546
75,29849.3,0.98262,0.52359,1.03484,0.92695,0.90345,0.94878,0.59331,1.28766,0.62055,1.22843,0.0005348,0.0005348,0.0005348
76,30180.3,0.95035,0.49512,1.01172,0.95963,0.88276,0.94207,0.59803,1.27176,0.61886,1.23359,0.000515,0.000515,0.000515
77,30507.9,0.95986,0.50236,1.01954,0.91379,0.87719,0.92383,0.57302,1.3107,0.63221,1.2745,0.0004952,0.0004952,0.0004952
78,30821.9,0.92567,0.48343,1.00851,0.9276,0.88966,0.93809,0.59503,1.27475,0.62674,1.26758,0.0004754,0.0004754,0.0004754
79,31138,0.92521,0.48821,1.01616,0.94849,0.88896,0.93331,0.57654,1.3003,0.61825,1.27658,0.0004556,0.0004556,0.0004556
80,31464.5,0.93668,0.48576,1.01897,0.94247,0.90388,0.93758,0.58087,1.28264,0.58472,1.2621,0.0004358,0.0004358,0.0004358
81,31788.5,0.91812,0.47723,1.01311,0.93564,0.90239,0.92999,0.57178,1.32754,0.60438,1.29228,0.000416,0.000416,0.000416
82,32111.6,0.91837,0.50224,1.00672,0.95271,0.88966,0.92841,0.57873,1.28747,0.59217,1.29517,0.0003962,0.0003962,0.0003962
83,32422.3,0.90524,0.47643,1.00037,0.96341,0.90796,0.93949,0.58412,1.28072,0.5897,1.29616,0.0003764,0.0003764,0.0003764
84,32733.6,0.88155,0.46127,0.992,0.9344,0.90345,0.92663,0.57844,1.25306,0.60829,1.2675,0.0003566,0.0003566,0.0003566
85,33047.7,0.87981,0.45688,0.9948,0.96295,0.89623,0.93766,0.58586,1.30669,0.5992,1.28735,0.0003368,0.0003368,0.0003368
86,33377.2,0.88444,0.46327,1.01126,0.94985,0.91428,0.94167,0.58799,1.31182,0.6014,1.29625,0.000317,0.000317,0.000317
87,33711.6,0.8935,0.46324,1,0.94289,0.91034,0.93981,0.59037,1.29884,0.58969,1.28352,0.0002972,0.0002972,0.0002972
88,34026.3,0.88608,0.46463,1.00118,0.92357,0.91724,0.93985,0.58384,1.29453,0.59213,1.29088,0.0002774,0.0002774,0.0002774
89,34359.8,0.86696,0.46582,1.01429,0.9427,0.90777,0.93816,0.58228,1.28845,0.60483,1.2908,0.0002576,0.0002576,0.0002576
90,34692.4,0.86288,0.46255,1.00315,0.94459,0.89655,0.93951,0.57531,1.27745,0.60689,1.27354,0.0002378,0.0002378,0.0002378
91,35031,0.8388,0.42674,0.98597,0.93391,0.89655,0.93615,0.58641,1.29127,0.58694,1.28695,0.000218,0.000218,0.000218
92,35351.3,0.83053,0.42629,0.97268,0.90993,0.9058,0.93484,0.58622,1.29492,0.5868,1.28935,0.0001982,0.0001982,0.0001982
93,35694.7,0.81654,0.41039,0.97918,0.93466,0.90345,0.94335,0.57667,1.32964,0.60398,1.30775,0.0001784,0.0001784,0.0001784
94,36023.5,0.81828,0.40852,0.98478,0.91583,0.9005,0.93645,0.57653,1.28769,0.5988,1.30193,0.0001586,0.0001586,0.0001586
95,36337.1,0.81286,0.40323,0.98685,0.91639,0.90709,0.93988,0.5824,1.29436,0.60888,1.3005,0.0001388,0.0001388,0.0001388
96,36663.2,0.78938,0.39952,0.96648,0.91338,0.90345,0.93749,0.57336,1.31298,0.60252,1.30966,0.000119,0.000119,0.000119
97,36990.5,0.80941,0.39987,0.97473,0.92849,0.89655,0.93635,0.57182,1.31094,0.59096,1.3082,9.92e-05,9.92e-05,9.92e-05
98,37321.4,0.78466,0.39193,0.9842,0.93536,0.89811,0.93834,0.57655,1.29094,0.57099,1.30826,7.94e-05,7.94e-05,7.94e-05
99,37642.3,0.77637,0.392,0.94892,0.94907,0.89953,0.93875,0.58067,1.32225,0.58489,1.31725,5.96e-05,5.96e-05,5.96e-05
100,37949.5,0.78789,0.39327,0.9667,0.9558,0.89476,0.94089,0.58045,1.30697,0.58246,1.3123,3.98e-05,3.98e-05,3.98e-05
